CustomerName,BookingDate,OpportunityID,BookingType,Total,AccountExecutive,SalesOrganization,Team,Product,Renewable
Linkbuzz,3/30/18,6de40407-3e0f-4792-a851-45cec0f2db2f,new,"$365,005.39 ",Ada Dries,Mid-Market,EAST,ALLOY,YES
Zoozzy,4/30/19,2689ac8d-bc51-46ed-8716-350e95a93324,renewal,"$1,956,586.31 ",Seamus Gow,Enterprise,WEST,SILVER,NO
Twitterbridge,12/3/19,a87a83a3-7c97-4b84-8a0a-9904ea722bae,renewal,"$1,777,313.62 ",Merle Luckwell,Mid-Market,EAST,SILVER,YES
Photospace,2/19/20,b98af38c-7380-43f5-a04b-c0ac7caeb8e1,renewal,"$1,797,046.98 ",Claudia Fernie,Trials,NORTH,BRONZE,YES
Babblestorm,12/15/18,bdd4d024-def7-4c59-98b3-6ff293b3f5de,new,"$1,814,064.93 ",Risa Joderli,SMB,EAST,SILVER,NO
Trilia,6/4/20,7a6d3783-4cc7-4238-97cb-a4d1ecac02b4,expansion,"$1,747,609.02 ",Bennie Buckle,Enterprise,EAST,GOLD,YES
Jetwire,11/25/18,b4584cef-92dc-4553-9ab2-408891275ef6,expansion,"$1,729,789.32 ",Nikolaos Axleby,Trials,EAST,ALLOY,YES
Miboo,9/14/19,390d2707-d90c-461a-a601-bbf81b5ef2a0,expansion,"$281,869.29 ",Milzie Rudsdale,Enterprise,NORTH,ALLOY,NO
Kanoodle,4/4/20,8baf9e15-6f2c-46d1-9af7-e37e166f5294,renewal,"$1,023,686.53 ",Jermain Dempster,Trials,NORTH,BRONZE,YES
Brainlounge,9/3/20,876f37cc-81a6-456a-b7eb-deeb8ad84397,renewal,"$1,191,241.60 ",Lefty Ridewood,Global,SOUTH,SILVER,NO
Yakitri,10/6/20,d404809e-8d03-414d-9a39-2994b932d22b,expansion,"$536,564.77 ",Rachael Corwood,Mid-Market,NORTH,SILVER,NO
Viva,2/14/18,b3000ba8-1c99-4efb-9b56-70b8992a4aba,renewal,"$1,723,094.05 ",Elsi Danilewicz,Trials,NORTH,BRONZE,NO
Eadel,12/19/20,bde51b70-adef-4137-8805-ea15f8ca6c70,new,"$697,048.63 ",Valle Lambertini,SMB,NORTH,GOLD,NO
Mymm,7/4/19,3d5502a5-10a8-4425-a690-5137fe7f03d6,renewal,"$871,978.59 ",Lonnard Cadore,Mid-Market,SOUTH,SILVER,NO
Plajo,9/23/18,2facae1b-7a79-4db4-8b89-a4173248af53,new,"$1,221,786.69 ",Rafaello Fish,Enterprise,NORTH,ALLOY,YES
Realmix,1/17/20,34d29408-493b-40e6-b6a2-40930a7da67b,expansion,"$942,501.24 ",Gabrila Hugonet,Enterprise,NORTH,SILVER,NO
Twitterwire,8/18/18,aff0c8b8-188d-482f-8c34-c141be18f857,new,"$384,858.38 ",Sayers Rushforth,Enterprise,SOUTH,PLATINUM,YES
Oyonder,7/22/18,c535a3d6-6cf8-46ee-8fd6-65df50be2004,renewal,"$699,072.55 ",Ludovico Escot,Global,WEST,ALLOY,NO
Fivespan,4/19/18,f334a500-ea03-4591-b729-b2e251d76828,renewal,"$246,953.42 ",Nolan Vowden,SMB,WEST,ALLOY,NO
Livefish,10/27/20,bea830da-564a-49cd-9f83-e4d1539390d6,expansion,"$67,484.94 ",Noel Brain,Global,WEST,ALLOY,YES
Linkbridge,11/22/19,a1ce10c8-a8e1-49ec-9815-f7760ee737f5,expansion,"$828,022.85 ",Goldie Doers,Global,WEST,ALLOY,NO
